,Shop,Location,Rating,Reviews,City,Type,Price
326,Happy Lemon Boston,417 Washington St,4.4,167,Boston,Cafe,Inexpensive
327,Sweet Boba,11 William C Kelly Square,4.8,102,Boston,Bubble Tea,
328,Gong Cha,40-44 Harrison Ave,4.4,491,Boston,Bubble Tea,Inexpensive
329,TeaMoji,3 N Beacon St,4.6,189,Boston,Bubble Tea,Inexpensive
330,TBaar,32 Kneeland St,4.5,114,Boston,Bubble Tea,Inexpensive
331,Tiger Sugar,181 Harvard Ave,4.5,153,Boston,Bubble Tea,Inexpensive
332,TIGER SUGAR,14 Tyler St,4.4,78,Boston,Bubble Tea,Inexpensive
333,Kung Fu Tea,334 Massachusetts Ave,4.4,665,Boston,Bubble Tea,Inexpensive
334,Coco Leaf on Newbury,303 Newbury St,4.4,122,Boston,Bubble Tea,Inexpensive
335,CHA FEO,248 Newbury St,4.5,78,Boston,Cafe,Inexpensive
336,Yi Fang Taiwan Fruit Tea,215 Newbury St 1st floor,4.5,69,Boston,Bubble Tea,Inexpensive
337,Chatime NEU,333 Huntington Ave,3.9,115,Boston,Bubble Tea,Inexpensive
338,One Zo,145 Brighton Ave,4.0,28,Boston,Bubble Tea,Inexpensive
339,Chatime Chinatown,31 Harrison Ave,4.1,209,Boston,Bubble Tea,Inexpensive
340,丸作 One Zo,83 Harrison Ave,3.9,71,Boston,Bubble Tea,Inexpensive
341,Coco Leaf,1480 Dorchester Ave,4.7,410,Boston,Bubble Tea,
342,Gong cha,281 Huntington Ave,4.6,19,Boston,Bubble Tea,Inexpensive
343,Vivi Bubble Tea Brighton,364 Washington St,4.4,163,Boston,Bubble Tea,Moderate
344,Ten One Tea House,279 Newbury St,4.3,132,Boston,Tea house,Inexpensive
345,Teazzi Tea Shop,31 Harrison Ave,4.6,22,Boston,Bubble Tea,Inexpensive
346,Bobo Café,,4.8,25,Boston,Closed,Inexpensive
347,TBaar,1038 Beacon St,4.7,276,Boston,Bubble Tea,Inexpensive
348,Gong Cha Dorchester,1472 Dorchester Ave,4.6,19,Boston,Bubble Tea,
349,Royaltea Boston,23b Tyler St,4.3,202,Boston,Tea store,
350,Mr. Tea,266 Newbury St,4.8,45,Boston,Bubble Tea,Inexpensive
351,Cha Kung Fong & X.F Fried Chicken 茶工坊&炫风炸 ChinaTown,197 Harrison Ave,4.6,41,Boston,Bubble Tea,Inexpensive
352,Reign Drink Lab,1370 Dorchester Ave,4.8,159,Boston,Coffee shop,
353,Möge Tee Allston,164 Brighton Ave,4.5,40,Boston,Bubble Tea,Inexpensive
354,Kung Fu Tea,131 Harvard Ave,4.3,443,Boston,Bubble Tea,Inexpensive
355,FRUITY,77 Harvard Ave,4.5,58,Boston,Bubble Tea,Inexpensive
356,Gong Cha,154 Harvard Ave,4.3,220,Boston,Bubble Tea,Inexpensive
357,Kung Fu Tea,1 Brighton Ave,3.4,39,Boston,Bubble Tea,Inexpensive
358,Sweet Sip,285 Adams St,4.6,195,Boston,Bubble Tea,Inexpensive
359,Love Art Sushi,1 Haviland St,4.5,533,Boston,Bubble Tea,Inexpensive
360,Craft Boba Tea,6105 Greenville Ave,4.1,232,Dallas,Bubble Tea,
361,Dottea,14902 Preston Rd,4.9,247,Dallas,Bubble Tea,Inexpensive
362,Panda Tea,5521 Greenville Ave #108,4.6,264,Dallas,Bubble Tea,
363,Kung Fu Tea,3001 Knox St #107A,4.4,216,Dallas,Bubble Tea,Inexpensive
364,Bobaddiction,3014 Main,4.4,231,Dallas,Bubble Tea,Inexpensive
365,Craft Boba Tea,408 N Bishop Ave # 104,4.1,128,Dallas,Bubble Tea,
366,Fat Straws Bubble Tea (Alpha & Noel),5301 Alpha Rd #38,4.5,357,Dallas,Bubble Tea,Inexpensive
367,Boba House Cafe,,4.4,94,Dallas,Closed,
368,FENG CHA - Belt Line Dallas,5225 Belt Line Rd Ste 254,4.7,94,Dallas,Bubble Tea,Inexpensive
369,Sharetea,13350 Dallas Pkwy #410,4.7,340,Dallas,Bubble Tea,Inexpensive
370,Fat Straws Bubble Tea (Forest),11810 Preston Rd #150,4.5,443,Dallas,Bubble Tea,Inexpensive
371,Royal I.T. Cafe,9100 N Central Expy #149,4.4,296,Dallas,Cafe,Moderate
372,Gong Cha Dallas,11613 N Central Expy Ste 106A,4.7,94,Dallas,Bubble Tea,Inexpensive
373,FENG CHA - Greenville Dallas,1917 Greenville Ave #130,4.8,57,Dallas,Bubble Tea,Inexpensive
374,Craft Boba Tea,320 Singleton Blvd #180,4.4,19,Dallas,Bubble Tea,
375,Squishies Bubble Tea,9850 Walnut Hl Ln Suite 203,4.8,42,Dallas,Bubble Tea,
376,Boba Tea & Treats,4135 Belt Line Rd,4.3,319,Dallas,Bubble Tea,
377,Lt Boba,,0.0,0,Dallas,Cafe,
378,9 Rabbits Bakery,2546 Royal Ln,4.5,936,Dallas,Bakery,Inexpensive
379,Boba Latte,115 S Greenville Ave # 113,4.4,714,Dallas,Bubble Tea,Inexpensive
380,Chelsea Corner,4830 McKinney Ave,4.4,690,Dallas,American,Moderate
381,AS Donuts & Boba Tea,9410 Walnut St,4.7,93,Dallas,Donuts,Inexpensive
382,Ethen Foods USA Inc,1750 Empire Central ste g,5.0,5,Dallas,Warehouse,
383,Fat Straws Bubble Tea,1251 W Campbell Rd,4.6,268,Dallas,Bubble Tea,Inexpensive
384,Happy Lemon,169 N Plano Rd,4.3,79,Dallas,Bubble Tea,Inexpensive
385,Fruitealicious Boba Tea,2150 N Josey Ln #100,4.5,361,Dallas,Bubble Tea,Inexpensive
386,Sharetea,1386 E Belt Line Rd,4.3,250,Dallas,Bubble Tea,Inexpensive
387,TocoToco Boba Tea (Rainbow Tea Shop),3801 W President George Bush Hwy #116,0.0,0,Dallas,Bubble Tea,
388,Boba Heaven,3112 N Jupiter Rd #311,4.6,335,Dallas,Bubble Tea,Inexpensive
389,Tiger Sugar,2625 Old Denton Rd #555,4.5,379,Dallas,Bubble Tea,Inexpensive
390,Bubble Leaf Boba Lounge,427 N Town E Blvd Suite 109,4.2,83,Dallas,Bubble Tea,
391,R&B TEA CARROLLTON (DALLAS),1017 E Trinity Mls Rd #100,4.8,51,Dallas,Bubble Tea,Inexpensive
392,Family Thais Asian Bistro,208 N Market St #150,4.4,246,Dallas,Bubble Tea,Inexpensive
393,Ding Tea Richardson,581 W Campbell Rd,4.7,145,Dallas,Bubble Tea,Inexpensive
394,Boba Bar,310 S Third St,4.4,540,San Jose,Bubble Tea,Inexpensive
395,Breaktime Tea - San Jose,110 E San Fernando St,4.4,222,San Jose,Bubble Tea,Inexpensive
396,Happy Lemon,567 Coleman Ave Suite 10,4.5,161,San Jose,Bubble Tea,Inexpensive
397,Gong Cha - Downtown San Jose,140 Paseo de San Antonio,4.2,216,San Jose,Bubble Tea,Inexpensive
398,Boba Pub,1576 Branham Ln,4.4,263,San Jose,Bubble Tea,Inexpensive
399,Milk Tea Lab,1175 E Julian St Ste 40,4.3,72,San Jose,Bubble Tea,
400,Sweet Gelato Tea Lounge,979 Story Rd #7084,4.5,314,San Jose,Bubble Tea,
401,Tocotea,1694 Berryessa Rd,4.3,142,San Jose,Bubble Tea,
402,Tisane,2980 E Capitol Expy Unit 50,4.4,298,San Jose,Bubble Tea,Inexpensive
403,Bobaholics,1055 E Brokaw Rd #40,4.4,299,San Jose,Bubble Tea,Inexpensive
404,Milk Tea Lab,1601 Branham Ln,4.2,183,San Jose,Bubble Tea,Inexpensive
405,Tastea Berryessa,1160 N Capitol Ave,4.3,419,San Jose,Bubble Tea,Inexpensive
406,Teazu,969 Story Rd UNIT 6033,3.8,65,San Jose,Bubble Tea,Inexpensive
407,Teaspoon,4328 Moorpark Ave,4.6,707,San Jose,Bubble Tea,Inexpensive
408,teahee,979 Story Rd #7012,3.9,106,San Jose,Bubble Tea,
409,OH MY BOBA ( Organic Creation Coffee and Tea ) Bubble Milk MilkTea Coffee Smoothies,1030 Piedmont Rd e,0.0,0,San Jose,Bubble Tea,
410,Pekoe,3276 S White Rd,4.4,819,San Jose,Tea house,Inexpensive
411,Buddy Teahouse,481 E San Carlos St,4.5,80,San Jose,Bubble Tea,
412,Tra Temptation,3245 Sierra Rd,4.6,104,San Jose,Bubble Tea,
413,Teasociety San Jose,1654 E Capitol Expy,4.2,204,San Jose,Bubble Tea,Inexpensive
414,Ume Tea,10887 N Wolfe Rd,3.9,219,San Jose,Bubble Tea,Inexpensive
415,R&B Tea San Jose,929 Story Rd Suite 2039,4.3,61,San Jose,Bubble Tea,
416,TeaLyfe Drinks,989 Story Rd,4.5,255,San Jose,Bubble Tea,Inexpensive
417,Lucky Tea,956 Story Rd,4.4,62,San Jose,Bubble Tea,
418,Boba Galaxy,2090 N Capitol Ave #C,4.8,45,San Jose,Bubble Tea,Moderate
419,Gong Cha,1701 Lundy Ave,4.3,311,San Jose,Bubble Tea,Inexpensive
420,Tea Alley,40 S 1st St,4.2,93,San Jose,Bubble Tea,Inexpensive
421,Oasis Pure Water & Boba Drinks,1947 Tully Rd,5.0,7,San Jose,Bubble Tea,
422,N7 Draft Tea + Coffee,4306 Moorpark Ave,4.5,67,San Jose,Bubble Tea,
423,7 Leaves Cafe,1743 Berryessa Rd,4.5,458,San Jose,Cafe,Inexpensive
424,Pure Tea Bar,6195 Santa Teresa Blvd,4.4,119,San Jose,Bubble Tea,Inexpensive
425,"TeaZer: Boba Drinks, Sandwiches, and Snacks",22 N White Rd,4.5,60,San Jose,Bubble Tea,Inexpensive
426,T4,969 Story Rd UNIT 6081,4.2,95,San Jose,Bubble Tea,Inexpensive
427,N7 Draft Tea + Coffee,3005 Silver Creek Rd STE 184,4.4,115,San Jose,Bubble Tea,
428,Happy Lemon,3005 Silver Creek Rd #112,4.5,382,San Jose,Bubble Tea,Inexpensive
429,Gong Cha,1180 Blossom Hill Rd #3,3.8,69,San Jose,Bubble Tea,Inexpensive
430,Bambu Desserts & Drinks,1688 Hostetter Rd D,4.0,123,San Jose,Dessert shop,Inexpensive
431,Suncha,326 Commercial St,4.8,23,San Jose,Bubble Tea,Inexpensive
432,Tastea Communications Hill,509 W Capitol Expy,4.4,105,San Jose,Bubble Tea,Inexpensive
433,TLeaf Teapresso,860 Blossom Hill Rd,4.3,96,San Jose,Bubble Tea,Inexpensive
434,Pekoe,996 Lundy Ave,4.5,162,San Jose,Bubble Tea,
435,Cool Tea Bar,2569 S King Rd #8C,4.4,17,San Jose,Bubble Tea,Inexpensive
436,Happy Lemon,5379 Prospect Rd,4.5,100,San Jose,Bubble Tea,Moderate
437,Sharetea,2855 Stevens Creek Blvd,4.1,264,San Jose,Bubble Tea,Inexpensive
438,T4,1671 N Capitol Ave,4.2,162,San Jose,Tea house,Inexpensive
439,TZONE Winchester,980 S Winchester Blvd #20,4.4,266,San Jose,Bubble Tea,Inexpensive
440,Teaspoon,4750 Almaden Expy UNIT 116,4.9,251,San Jose,Bubble Tea,Inexpensive
441,Happy Lemon,630 Blossom Hill Rd #30,4.4,109,San Jose,Cafe,Inexpensive
442,Boba Express,1645 Flickinger Ave,0.0,0,San Jose,Bubble Tea,
443,Tea Villa,150 S 1st St Suite 103,4.5,22,San Jose,Cafe,
444,Yifang Taiwan Fruit Tea,1147 S De Anza Blvd,3.9,129,San Jose,Tea house,Inexpensive
445,Bobateani,,5.0,13,San Jose,Bubble Tea,
446,Rabbit Rabbit Tea,2855 Stevens Creek Blvd Space B9243,4.2,123,San Jose,Bubble Tea,Inexpensive
447,OneZo Boba,925 Blossom Hill Rd #1384,0.0,0,San Jose,Bubble Tea,
448,The Sweet Corner,989 Story Rd,4.1,185,San Jose,Bubble Tea,Moderate
449,Jiaren Cafe,1171 Homestead Rd Ste 140B,4.8,216,San Jose,Coffee shop,Inexpensive
450,Tiger Sugar Cupertino,19620 Stevens Creek Blvd #180,4.4,186,San Jose,Bubble Tea,
451,Boba Up,4141 University Way NE # 103,4.6,604,Seattle,Bubble Tea,Inexpensive
452,Wow Bubble Tea,4553 University Way NE,4.6,245,Seattle,Bubble Tea,Inexpensive
453,Young Tea,609 S Weller St,4.5,626,Seattle,Bubble Tea,Inexpensive
454,Sharetea,530 Broadway,4.4,186,Seattle,Bubble Tea,Inexpensive
455,The Moo Bar,2124 Westlake Ave,4.0,669,Seattle,Bubble Tea,Inexpensive
456,Oasis Tea Zone (Chinatown ID),519 6th Ave S,4.3,1483,Seattle,Bubble Tea,Inexpensive
457,DING TEA SEATTLE,4725 University Way NE,4.4,285,Seattle,Bubble Tea,Inexpensive
458,BobaBucha Cafe,1424 E Pine St,4.8,99,Seattle,Bubble Tea,
459,Drip Tea,1416 10th Ave,4.4,262,Seattle,Cafe,Inexpensive
460,Hi Tea Cafe,202 Broadway E,4.4,134,Seattle,Bubble Tea,Inexpensive
461,20 OZ Tea,1823 Eastlake Ave E #160,4.4,232,Seattle,Bubble Tea,
462,The Bubble Tea Shop,305 Harrison St,2.5,97,Seattle,Bubble Tea,Inexpensive
463,Rabbit Rabbit Tea Seattle,518 1st Ave N,4.5,114,Seattle,Bubble Tea,Inexpensive
464,Meraki Tea Bar,4701 Brooklyn Ave NE,4.6,62,Seattle,Bubble Tea,Inexpensive
465,TP TEA,679 S King St,4.3,163,Seattle,Bubble Tea,
466,Oasis Tea Zone,4524 University Way NE,4.3,457,Seattle,Bubble Tea,Inexpensive
467,Timeless Tea,1000 NE 50th St,4.4,283,Seattle,Bubble Tea,Moderate
468,Meetea Cafe - Capitol Hill,1424 11th Ave Suite F,4.4,63,Seattle,Bubble Tea,Inexpensive
469,Dont Yell At Me,4511 University Way NE,4.5,269,Seattle,Bubble Tea,Inexpensive
470,Tea Addicts,1527 Harvard Ave,4.6,139,Seattle,Bubble Tea,
471,DIY Tea Lab - Fremont,734 N 34th St,4.0,68,Seattle,Bubble Tea,Inexpensive
472,The Boss Tea,6408 Martin Luther King Jr Way S,4.6,78,Seattle,Bubble Tea,
473,Atulea,1715 12th Ave #100,4.6,175,Seattle,Bubble Tea,Inexpensive
474,Happy Lemon,2245 8th Ave R1-1A,4.2,252,Seattle,Bubble Tea,Moderate
475,Blank Space Cafe,2126 2nd Ave,3.9,288,Seattle,Bubble Tea,Inexpensive
476,Can't Hot,523 Maynard Ave S,4.6,11,Seattle,Bubble Tea,
477,Boba Smoothies,1409 NE 45th St,4.4,46,Seattle,Bubble Tea,Inexpensive
478,Chatime,6014 Martin Luther King Jr Way S,4.0,112,Seattle,Bubble Tea,Inexpensive
479,YAN tea,5210 Roosevelt Way NE Ste A,4.3,88,Seattle,Bubble Tea,
480,Boba Gem Tea House,4213 University Way NE,4.6,35,Seattle,Bubble Tea,
481,Café Happy,1408 NE 40th St,3.8,57,Seattle,Bubble Tea,
482,Luu’s Cafe,8507 35th Ave NE,4.7,104,Seattle,Bubble Tea,Inexpensive
483,Seattle Best Tea,506 S King St,4.8,501,Seattle,Tea store,
484,Yifang Taiwan Fruit Tea 一芳台灣水果茶 UW,5000 University Way NE Suite C,4.4,160,Seattle,Bubble Tea,Inexpensive
485,Tea King,1600 Dexter Ave N Unit 202,4.8,57,Seattle,Bubble Tea,
486,Citra,4730 University Way NE #105,4.8,203,Seattle,Cafe,Moderate
487,Bubble Tea Fresh Fruit Juice,1043 S Jackson St,4.6,130,Seattle,Bubble Tea,Inexpensive
488,Yifang Taiwan Fruit Tea,619 S King St,4.3,54,Seattle,Bubble Tea,Inexpensive
489,Iki Tea,916 E Pike St,4.5,15,Seattle,Bubble Tea,
490,TP TEA,1312 NE 45th St,4.7,21,Seattle,Bubble Tea,Inexpensive
491,OH! Bear Cafe & TeaHouse,4708 11th Ave NE,4.4,139,Seattle,Cafe,Inexpensive
492,Sharetea,4730 University Way NE Suite #109-110,4.4,56,Seattle,Bubble Tea,Inexpensive
493,Bambū Desserts & Drinks,516 7th Ave S unit A,4.5,648,Seattle,Restaurant,Inexpensive
494,Sharetea,4740 42nd Ave SW,4.3,46,Seattle,Bubble Tea,Inexpensive
495,Happy Lemon,2630 NE Village Plaza,4.4,42,Seattle,Bubble Tea,
496,Timeless Tea 茶千岁(Capitol Hill),509 Broadway E,0.0,0,Seattle,Bubble Tea,
497,MI TEA,307 Westlake Ave N,3.9,36,Seattle,Bubble Tea,
498,Young Tea,2110 N 45th St,5.0,15,Seattle,Bubble Tea,Inexpensive
499,Luu's Cafe,7214 Woodlawn Ave NE,4.3,6,Seattle,Coffee shop,Inexpensive
500,Phở Hòa + Jazen Tea (Weller),618 S Weller St,4.2,334,Seattle,Bubble Tea,Inexpensive
501,Ambrosia Cafe,110 Martin Luther King Jr Way S,3.6,75,Seattle,Cafe,Inexpensive
502,Jardin Tea,604 5th Ave S,4.6,41,Seattle,Tea house,Inexpensive
503,Tea Republik,4527 University Way NE,4.7,382,Seattle,Tea house,Inexpensive
504,Pearls Tea & Coffee,4800 Delridge Way SW,4.1,211,Seattle,Coffee shop,Inexpensive
505,Happy Tea,14314 Greenwood Ave N Unit 2,4.6,10,Seattle,Bubble Tea,
506,Miro Tea,5405 Ballard Ave NW,4.7,587,Seattle,Tea house,Inexpensive
507,R&B Tea UW Seattle,1100 NE 45th St Suite 100,4.2,10,Seattle,Bubble Tea,
508,Rain Cafe,13200 Aurora Ave N suite c,4.2,404,Seattle,Cafe,Moderate
509,jys bubble tea,5267 University Way NE,3.9,155,Seattle,Bubble Tea,
510,Nana’s Green Tea,1007 Stewart St #103,4.4,1001,Seattle,Japanese sweets restaurant,Moderate
511,TIGER SUGAR,1422 2nd Ave,0.0,0,Seattle,Bubble Tea,
512,BobaLust Tea House,319 Tukwila Pkwy,4.6,586,Seattle,Bubble Tea,Inexpensive
513,DIY Tea Lab - Ballard,2215 NW Market St,5.0,2,Seattle,Bubble Tea,
514,Natalie's on Alki,2532 Alki Ave SW,4.6,69,Seattle,Bubble Tea,
515,tiktak,651 S King St,3.6,9,Seattle,Dessert shop,Inexpensive
516,"Swan Healthy Gourmet, LLC",,4.1,21,Seattle,Closed,
517,"Hangry Panda: Gluten Free Fried Chicken, Teriyaki & Bubble Tea",7815 Aurora Ave N,4.7,186,Seattle,Bubble Tea,Inexpensive
518,Teaism Lafayette Park,800 Connecticut Ave NW,4.4,204,Washington Dc,Bubble Tea,Moderate
519,Sharetea DC Chinatown 歇腳亭 華盛頓唐人街店,519 H St NW,4.5,369,Washington Dc,Bubble Tea,Inexpensive
520,Gong Cha 14th St DC,1399 New York Ave NW,4.2,244,Washington Dc,Bubble Tea,Inexpensive
521,BeauTea,1073 Wisconsin Ave NW 1st Floor,3.7,75,Washington Dc,Bubble Tea,
522,SecreTea,1959 E St NW,4.3,94,Washington Dc,Bubble Tea,
523,Spot of Tea,51 M St NE,4.6,110,Washington Dc,Bubble Tea,
524,DC Boba,1403 Park Rd NW,4.8,32,Washington Dc,Bubble Tea,Inexpensive
525,Kung Fu Tea,1990 M St NW #102,4.4,139,Washington Dc,Bubble Tea,Inexpensive
526,Cozy Bubble Tea and Coffee,1529 Wisconsin Ave NW Floor 2,3.3,17,Washington Dc,Bubble Tea,
527,Spot of Tea,2400 14th St NW,5.0,26,Washington Dc,Bubble Tea,
528,Gong Cha,1901 Pennsylvania Avenue NW suite 0002,4.5,54,Washington Dc,Bubble Tea,Inexpensive
529,Gong cha Georgetown,3279 M St NW,4.3,51,Washington Dc,Bubble Tea,Inexpensive
530,Möge Tee - DC,2428 Wisconsin Ave NW,3.9,150,Washington Dc,Bubble Tea,Moderate
531,Sharetea 歇脚亭,519 H St NW,4.5,30,Washington Dc,Bubble Tea,Inexpensive
532,Teaism Dupont Circle,2009 R St NW,4.5,554,Washington Dc,Bubble Tea,Moderate
533,Teaism Penn Quarter,400 8th St NW,4.5,893,Washington Dc,Bubble Tea,Moderate
534,Tea Mansion | DuPont Circle | Washington DC,1627 Connecticut Ave NW,4.6,56,Washington Dc,Bubble Tea,
535,Supreme Barbecue x Auntea Boba,2 Florida Ave NE,4.1,94,Washington Dc,Bubble Tea,
536,Lily Bubble Tea & Smoothie,1666 Crystal Dr,4.4,100,Washington Dc,Bubble Tea,Inexpensive
537,Teaism Lafayette Park,800 Connecticut Ave NW,4.4,204,Washington Dc,Bubble Tea,Moderate
538,E-Tea,49 District Square SW,3.9,33,Washington Dc,Bubble Tea,
539,Simply Banh Mi,1624 Wisconsin Ave NW,4.6,414,Washington Dc,Bubble Tea,Inexpensive
540,Shopkeepers,1231 Florida Ave NE,4.6,46,Washington Dc,Bubble Tea,
541,Gong Cha,1650 Wilson Blvd Suite 100A,3.9,60,Washington Dc,Bubble Tea,Inexpensive
542,Panda Tea House,1100 S. Hayes Street Suite C06A,2.7,82,Washington Dc,Bubble Tea,
543,Spill The Tea,515 E Braddock Rd,4.4,96,Washington Dc,Bubble Tea,
544,Kogibow Bakery,1817 Adams Mill Rd NW,4.4,65,Washington Dc,Bakery,
545,Shiny Tea,2667 Broadway,4.6,174,New York,Bubble Tea,Inexpensive
546,ViVi Bubble Tea,49 Bayard St,4.2,360,New York,Bubble Tea,Inexpensive
547,Tiger Sugar (CHINATOWN),197 Canal St,4.4,592,New York,Bubble Tea,Inexpensive
548,PATEA BUBBLE TEA,227 E 14th St,4.5,199,New York,Bubble Tea,Inexpensive
549,I’Milky 沐白,992 6th Ave,4.5,336,New York,Bubble Tea,Inexpensive
550,ViVi Bubble Tea,607 9th Ave,4.2,615,New York,Bubble Tea,Inexpensive
551,Mi Tea,101 MacDougal St,4.7,118,New York,Bubble Tea,Inexpensive
552,BIAO Sugar,1271 Broadway,4.1,278,New York,Bubble Tea,Inexpensive
553,Gong Cha,75 W 38th St,4.2,523,New York,Bubble Tea,Inexpensive
554,Ten Ren's Tea Time,73 Mott St,4.1,397,New York,Bubble Tea,Inexpensive
555,The Alley,68 Cooper Sq,4.2,291,New York,Bubble Tea,Moderate
556,CoCo Fresh Tea & Juice,38 Lexington Ave,4.3,156,New York,Bubble Tea,Inexpensive
557,Ho Ho Té,805 8th Ave,4.3,135,New York,Bubble Tea,Inexpensive
558,Kung Fu Tea,28 St Marks Pl,4.4,231,New York,Bubble Tea,Inexpensive
559,Machi Machi,33 W 32nd St,3.9,315,New York,Bubble Tea,Inexpensive
560,FIFTYLAN Union Square,32 Union Square E,4.2,51,New York,Bubble Tea,
561,Chun Yang Tea,26B Elizabeth St,4.4,53,New York,Bubble Tea,Inexpensive
562,ViVi Bubble Tea,170 W 23rd St,4.2,357,New York,Bubble Tea,Inexpensive
563,Modern Tea Shop,300 W 49th St,4.3,89,New York,Bubble Tea,Inexpensive
564,Teado Tea Shop,145D Hester St,4.9,390,New York,Bubble Tea,Inexpensive
565,Truedan Chinatown 珍煮丹,208 Grand St # Store,4.5,68,New York,Bubble Tea,Inexpensive
566,Gong Cha,12 W 32nd St,4.1,377,New York,Bubble Tea,Inexpensive
567,Moge Tee Midtown,302 W 39th St,4.0,126,New York,Bubble Tea,Moderate
568,Gong Cha,2810 Broadway,4.5,189,New York,Bubble Tea,Inexpensive
569,ViVi Bubble Tea,2 E Broadway,3.7,71,New York,Bubble Tea,Inexpensive
570,Kung Fu Tea,31 Waverly Pl Unit 5,4.6,144,New York,Bubble Tea,Inexpensive
571,Yi Fang Taiwan Fruit Tea 一芳,67 Bayard St,3.7,118,New York,Bubble Tea,Inexpensive
572,"Debutea, tea and coffee",217 Thompson St,4.5,307,New York,Bubble Tea,
573,Kung Fu Tea,73 Chrystie St,4.2,331,New York,Bubble Tea,Inexpensive
574,QBubble,114-02 15th Ave #5,4.9,278,New York,Wholesaler,
575,Yaya Tea CHRYSTIE,51 Chrystie St,4.6,621,New York,Bubble Tea,Inexpensive
576,Green E.Tea,164 Pearl St,5.0,1,New York,Bubble Tea,Inexpensive
577,Koo Cha,1764 1st Ave. Store B,3.7,15,New York,Bubble Tea,
578,ViVi Bubble Tea,18 W 14th St a,4.2,283,New York,Bubble Tea,Inexpensive
579,Moge Tee East Village,69 Cooper Sq,4.2,139,New York,Bubble Tea,Moderate
580,Xing Fu Tang,40-52 Main St,4.3,395,New York,Bubble Tea,Moderate
581,Hawa Smoothies & Bubble Tea,181A E Broadway Closed,4.7,168,New York,Bubble Tea,Inexpensive
582,Yaya Tea GRAND,206 Grand St,4.4,526,New York,Bubble Tea,Inexpensive
583,SugarCube New York,4007 82nd St,5.0,11,New York,Bubble Tea,Inexpensive
584,The Koi / 50 Lan,189 Bleecker,4.8,11,New York,Bubble Tea,
585,Tidal Tea,1520 Amsterdam Ave,4.7,122,New York,Bubble Tea,Inexpensive
586,Miss Du's Tea Shop,33 Pell St,4.8,76,New York,Tea house,
587,honestea,173 Hester St,4.3,143,New York,Tea house,Inexpensive
588,Kung Fu Tea,9 Broadway,4.1,93,New York,Bubble Tea,Inexpensive
589,Kung Fu Tea,86-12 Justice Ave,4.2,212,New York,Bubble Tea,Inexpensive
590,iF Chá,162 E 25th St,4.0,5,New York,Cafe,
591,M Tea Flushing,36-56 Main St,4.1,276,New York,Bubble Tea,Inexpensive
592,Lazy Sundaes Canal St. Market,261 Canal St,4.6,31,New York,Bubble Tea,
593,BOBA KAFE,345 W 35th ST,0.0,0,New York,,
594,Hawa Smoothies and Bubble Tea,1293 1st Ave.,4.7,50,New York,Bubble Tea,
595,Yi Fang Taiwan Fruit Tea,44-68 21st St,4.0,117,New York,Bubble Tea,Moderate
596,iCha Boba,12-07 Jackson Ave,5.0,22,New York,Bubble Tea,Inexpensive
597,Grace Street Coffee & Desserts,17 W 32nd St,4.6,2268,New York,Bubble Tea,Moderate
598,Chun Yang Tea- New Dorp,324 New Dorp Ln,4.7,71,New York,Bubble Tea,
599,Solely Tea,111 Eldridge St,5.0,43,New York,Bubble Tea,
600,Bibble & Sip,253 W 51st St,4.6,2463,New York,Cafe,Moderate
601,The Teahouse Tapioca & Tea,4926 Beechnut St,4.4,435,Houston,Bubble Tea,Inexpensive
602,The Teahouse,2089 Westheimer Rd,4.8,2098,Houston,Bubble Tea,Inexpensive
603,Boba City,8330 Long Point Rd Suite E,4.4,291,Houston,Bubble Tea,Inexpensive
604,Kung Fu Tea,9889 Bellaire Blvd #222,4.0,422,Houston,Bubble Tea,Inexpensive
605,BoBa Island,12138 Bellaire Blvd #2315,4.3,325,Houston,Tea house,Inexpensive
606,Teaspoon of Boba,11818 Airline Dr ste i,4.7,235,Houston,Bubble Tea,Inexpensive
607,The Bếp Teahouse,8300 W Sam Houston Pkwy S Ste 172,4.4,308,Houston,Bubble Tea,Inexpensive
608,The Boba Spot,13411 TX-249 #6,4.0,74,Houston,Bubble Tea,
609,Sharetea,9889 Bellaire Blvd Ste E213,4.5,508,Houston,Bubble Tea,Inexpensive
610,I Heart Boba,10092 Veterans Memorial Dr #2404,4.5,428,Houston,Bubble Tea,Inexpensive
611,Boba Chick,3506 Scott St,4.3,67,Houston,Bubble Tea,Inexpensive
612,Tea Top,9889 Bellaire Blvd E203,4.6,179,Houston,Bubble Tea,Inexpensive
613,Yumcha,9889 Bellaire Blvd STE E217,4.6,243,Houston,Bubble Tea,Inexpensive
614,Bobo Tea,1003 Dairy Ashford Rd Ste B,4.6,127,Houston,Bubble Tea,Inexpensive
615,The Teahouse,2518 Rice Boulevard B,4.3,478,Houston,Bubble Tea,Inexpensive
616,SmooTea,4007 Bellaire Blvd suite f,4.7,86,Houston,Bubble Tea,Inexpensive
617,KOI CHA,"9855-C, Blackhawk Blvd",4.6,112,Houston,Bubble Tea,Inexpensive
618,New Tapioca Master,12303 Jones Rd #100,4.7,475,Houston,Cafe,Inexpensive
619,Nu Ice & Drinks,5901 Westheimer Rd B1,4.6,640,Houston,Bubble Tea,Inexpensive
620,I Heart Boba,10245 Kempwood Dr ste b,4.5,114,Houston,Bubble Tea,Inexpensive
